place,img,altitude,description,area_id,Ruby,Hyakumeizan
白馬岳,,2932,under construction...,2,しろうまだけ,1
鑓ヶ岳,,2903,under construction...,2,,0
鹿島槍ヶ岳,,2889,under construction...,2,かしまやりがたけ,1
旭岳,,2867,under construction...,2,あさひだけ,0
針ノ木岳,,2821,under construction...,2,はりのきだけ,0
五竜岳,,2814,under construction...,2,ごりゅうだけ,1
蓮華岳,,2799,under construction...,2,れんげだけ,0
小蓮華山,,2766,under construction...,2,,0
唐松岳,,2696,under construction...,2,からまつだけ,0
赤沢岳,,2678,under construction...,2,,0
爺ヶ岳,,2670,under construction...,2,,0
鳴沢岳,,2641,under construction...,2,,0
岩小屋沢岳,,2630,under construction...,2,,0
烏帽子岳,,2628,under construction...,2,えぼしだけ,0
雪倉岳,,2611,under construction...,2,ゆきくらだけ,0
不動岳,,2601,under construction...,2,,0
北葛岳,,2551,under construction...,2,,0
船窪岳,,2459,under construction...,2,,0
朝日岳,,2418,under construction...,2,あさひだけ,0
奥鐘山,,1543,under construction...,2,,0
立山,,3105,under construction...,2,たてやま,1
剱岳,,2999,under construction...,2,つるぎだけ,1
薬師岳,,2926,under construction...,2,やくしだけ,1
別山,,2880,under construction...,2,,0
龍王岳,,2872,under construction...,2,,0
真砂岳,,2861,under construction...,2,,0
奥大日岳,,2611,under construction...,2,おくだいにちだけ,0
越中沢岳,,2592,under construction...,2,,0
大日岳,,2501,under construction...,2,,0
毛勝山,,2415,under construction...,2,けかちやま,0
猫又山,,2378,under construction...,2,,0
僧ヶ岳,,1855,under construction...,2,,0
大天井岳,,2922,under construction...,3,おてんしょうだけ,0
常念岳,,2857,under construction...,3,じょうねんだけ,1
東天井岳,,2814,under construction...,3,,0
横通岳,,2767,under construction...,3,,0
燕岳,,2763,under construction...,3,つばくろだけ,0
蝶ヶ岳,,2677,under construction...,3,ちょうがたけ,0
餓鬼岳,,2647,under construction...,3,がきだけ,0
霞沢岳,,2646,under construction...,3,かすみざわだけ,0
唐沢岳,,2633,under construction...,3,,0
大滝山,,2616,under construction...,3,,0
奥穂高岳,,3190,under construction...,3,ほたかだけ,0
槍ヶ岳,,3180,under construction...,3,やりがたけ,1
涸沢岳,,3110,under construction...,3,ほたかだけ,0
北穂高岳,,3106,under construction...,3,,0
大喰岳,,3101,under construction...,3,,0
前穂高岳,,3090,under construction...,3,,0
中岳,,3084,under construction...,3,,0
南岳,,3033,under construction...,3,,0
西穂高岳,,2909,under construction...,3,,0
焼岳,,2455,under construction...,3,やけだけ,1
上高地,,-,under construction...,3,,0
木曽駒ヶ岳,,2956,under construction...,4,,0
宝剣岳,,2931,under construction...,4,,0
空木岳,,2864,under construction...,4,うつぎだけ,1
三ノ沢岳,,2847,under construction...,4,,0
南駒ヶ岳,,2841,under construction...,4,,0
熊沢岳,,2778,under construction...,4,,0
仙涯嶺,,2734,under construction...,4,,0
麦草岳,,2733,under construction...,4,,0
将棊頭山,,2730,under construction...,4,,0
檜尾岳,,2728,under construction...,4,,0
東川岳,,2671,under construction...,4,,0
越百山,,2614,under construction...,4,こすもやま,0
大棚入山,,2375,under construction...,4,,0
安平路山,,2363,under construction...,4,あんぺいじやま,0
経ヶ岳,,2296,under construction...,4,,0
恵那山,,2191,under construction...,4,えなさん,1
摺古木山,,2169,under construction...,4,,0
権現山,,1749,under construction...,4,,0
南木曽岳,,1679,under construction...,4,なぎそだけ,0
風越山,,1535,under construction...,4,,0
北岳,,3193,under construction...,5,きただけ,1
間ノ岳,,3190,under construction...,5,あいのだけ,1
東岳,,3141,under construction...,5,,0
塩見岳,,3052,under construction...,5,しおみだけ,1
西農鳥岳,,3051,under construction...,5,,0
仙丈ヶ岳,,3033,under construction...,5,,0
農鳥岳,,3026,under construction...,5,のうとりだけ,0
甲斐駒ヶ岳,,2966,under construction...,5,,0
広河内岳,,2895,under construction...,5,,0
蝙蝠岳,,2865,under construction...,5,,0
鳳凰山,,2841,under construction...,5,ほうおうさん,1
小河内岳,,2802,under construction...,5,,0
アサヨ峰,,2799,under construction...,5,－－－みね,0
薬師岳,,2780,under construction...,5,やくしだけ,1
地蔵ヶ岳,,2764,under construction...,5,,0
駒津峰,,2752,under construction...,5,,0
烏帽子岳,,2726,under construction...,5,えぼしだけ,0
小太郎山,,2725,under construction...,5,,0
栗沢山,,2714,under construction...,5,,0
北荒川岳,,2698,under construction...,5,,0
安倍荒倉岳,,2693,under construction...,5,,0
鋸岳,,2685,under construction...,5,のこぎりだけ,0
新蛇抜山　,,2667,under construction...,5,,0
双児山,,2649,under construction...,5,,0
板屋岳,,2646,under construction...,5,,0
徳右衛門岳,,2599,under construction...,5,,0
辻山,,2585,under construction...,5,,0
伊那荒倉岳,,2519,under construction...,5,,0
東岳,,3141,under construction...,6,,0
赤石岳,,3121,under construction...,6,あかいしだけ,1
中岳,,3084,under construction...,6,,0
前岳,,3068,under construction...,6,,0
聖岳,,3013,under construction...,6,ひじりだけ,1
千枚岳,,2880,under construction...,6,,0
大沢岳,,2820,under construction...,6,,0
兎岳,,2818,under construction...,6,,0
上河内岳,,2803,under construction...,6,かみこうちだけ,0
笊ヶ岳,,2629,under construction...,6,,0
茶臼岳,,2604,under construction...,6,ちゃうすだけ,0
光岳,,2592,under construction...,6,てかりだけ,1
布引山,,2584,under construction...,6,,0
仁田岳,,2524,under construction...,6,,0
青薙山,,2406,under construction...,6,,0
池口岳,,2392,under construction...,6,いけくちだけ,0
大無間山,,2330,under construction...,6,だいむげんざん,0
富士山,,3776,under construction...,7,ふじさん,1
毛無山,,1946,under construction...,7,けなしやま,0
天子ヶ岳,,1330,under construction...,7,,0
赤岳,,2899,under construction...,8,,0
横岳,,2829,under construction...,8,,0
阿弥陀岳,,2805,under construction...,8,,0
硫黄岳,,2760,under construction...,8,,0
権現岳,,2715,under construction...,8,,0
天狗岳,,2646,under construction...,8,てんぐだけ,0
峰の松目,,2568,under construction...,8,,0
蓼科山,,2531,under construction...,8,たてしなやま,1
編笠山,,2524,under construction...,8,,0
北横岳,,2480,under construction...,8,,0
縞枯山,,2403,under construction...,8,,0
西岳,,2398,under construction...,8,,0
美ヶ原,,-,under construction...,8,,1
霧ヶ峰,,-,under construction...,8,,1
白樺湖,,-,under construction...,8,,0
車山高原,,-,under construction...,8,,0
金峰山,,2599,under construction...,9,きんぷさん,1
国師ヶ岳,,2592,under construction...,9,,0
甲武信ヶ岳,,2475,under construction...,9,,0
小川山,,2418,under construction...,9,,0
瑞牆山,,2230,under construction...,9,みずがきやま,1
唐松尾山,,2109,under construction...,9,,0
白石山,,2036,under construction...,9,しろいしやま,0
乾徳山,,2031,under construction...,9,けんとくさん,0
妙法ヶ岳,,1332,under construction...,9,,0
飛竜山,,2077,under construction...,9,,0
三宝山,,2483,under construction...,9,,0
三峰山（妙法が岳）,,1329,under construction...,9,,0
雲取山,,2017,under construction...,10,くもとりやま,1
棒ノ折山,,969,under construction...,10,,0
川苔山,,1363,under construction...,10,,0
蕎麦粒山,,1493,under construction...,10,,0
鷹ノ巣山,,1736,under construction...,10,,0
三頭山,,1528,under construction...,10,みとうさん,0
御岳山,,929,under construction...,10,,0
大岳山,,1267,under construction...,10,おおだけさん,0
御前山,,1405,under construction...,10,,0
高尾山,,599,under construction...,10,,0
陣馬山,,855,under construction...,10,,0
伊豆ヶ岳,,851,under construction...,11,,0
天覧山,,197,under construction...,11,,0
堂平山,,876,under construction...,11,,0
武甲山,,1304,under construction...,11,ぶこうさん,0
熊倉山,,1427,under construction...,11,,0
蕨山,,1044,under construction...,11,,0
宝登山,,497,under construction...,11,,0
両神山,,1723,under construction...,11,りょうがみやま,1
蛭ヶ岳,,1673,under construction...,12,,0
檜洞丸,,1601,under construction...,12,,0
大室山,,1587,under construction...,12,,0
丹沢山,,1567,under construction...,12,,0
塔ノ岳,,1491,under construction...,12,とうのだけ,0
菰釣山,,1379,under construction...,12,,0
畦ヶ丸山,,1292,under construction...,12,,0
鍋割山,,1272,under construction...,12,,0
大山,,1252,under construction...,12,おおやま,1
鶏冠山（黒川山）,,1716,under construction...,13,,0
大菩薩嶺,,2057,under construction...,13,だいぼさつれい,1
小金沢山,,2014,under construction...,13,,0
源次郎岳,,1477,under construction...,13,,0
黒岳,,1988,under construction...,13,くろだけ,0
雁ヶ腹摺山,,1874,under construction...,13,,0
至仏山,,2228,under construction...,14,しぶつさん,1
燧ヶ岳,,2356,under construction...,14,,0
帝釈山,,2060,under construction...,14,たいしゃくざん,0
会津駒ヶ岳,,2133,under construction...,14,,0
平ヶ岳,,2141,under construction...,14,,1
尾瀬ヶ原,,-,under construction...,14,,0
仙ノ倉山,,2026,under construction...,15,せんのくらやま,0
平標山,,1984,under construction...,15,,0
茂倉岳,,1978,under construction...,15,,0
谷川岳,,1977,under construction...,15,たにがわだけ,1
一ノ倉岳,,1974,under construction...,15,,0
万太郎山,,1954,under construction...,15,,0
朝日岳,,1945,under construction...,15,あさひだけ,0
白毛門,,1720,under construction...,15,,0
天城山（万三郎岳,,1405,under construction...,16,,0
金時山,,1212,under construction...,16,きんときやま,0
箱根駒ヶ岳,,1356,under construction...,16,,0
那須岳（茶臼岳）,,1915,under construction...,17,,0
朝日岳,,1896,under construction...,17,あさひだけ,0
三本槍岳,,1917,under construction...,17,,0
男鹿岳,,1777,under construction...,17,おじかだけ,0
二岐山,,1544,under construction...,17,ふたまたやま,0
妙義山,,1104,under construction...,18,みょうぎさん,0
荒船山,,1422,under construction...,18,あらふねやま,0
碓氷峠,,-,under construction...,18,,0